lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh,market
19,52,35.2,-0.218850591420948,-0.19311875693673697,0.20652484140982752,-0.5136010025213799,0.1220994261479633,0.304,0.35898427078803957,0.3442080690163792,eu_eur
20,51,34.0,-0.2967913307001265,-0.2731221719457013,0.0886019477389699,-0.5771710414541853,0.04618266250932476,0.124,0.35557728251681997,0.22487893007235363,eu_eur
21,50,33.0,-0.3679576942677662,-0.41800720288115245,0.034476239364816585,-0.6315058629242284,-0.028193413348655893,0.053,0.371054486857904,0.22487893007235363,eu_eur
22,49,32.4,-0.3402398708096498,-0.3016326530612245,0.054788574039830396,-0.6144296685660281,0.007279018992271417,0.074,0.37245380456270266,0.22487893007235363,eu_eur
23,48,31.4,-0.2719555932688877,-0.26964828484585324,0.13701673514568924,-0.5694371999122794,0.08850858736237789,0.183,0.3695486413174524,0.28545153155351927,eu_eur
24,47,31.9,-0.2847730166328407,-0.3551110083256244,0.11566129864323571,-0.5768529408222441,0.07187175022164936,0.15,0.36769597724028336,0.2628665878255357,eu_eur
0,186,152.1,0.0915407433103847,0.10533593797350911,0.26227927027999964,-0.06859421542156437,0.24707718977517157,0.349,0.18327843827295853,0.9339871059062419,br_usd
1,186,148.0,0.15557543962242573,0.13688254409317027,0.058947457974046547,-0.005931028022144467,0.30917179404504047,0.097,0.18517109883528574,0.7368432246755818,br_usd
2,186,147.6,0.06317835725009795,0.06440889742597522,0.4468354730303705,-0.09940851559810195,0.22247944243532247,0.523,0.17870837878827092,0.9339871059062419,br_usd
3,186,147.1,-0.010420647066663236,-0.017972949661754212,0.9004444227541117,-0.17196625395638201,0.15167075157372462,0.907,0.17744441297437083,0.9837620740650215,br_usd
4,186,148.3,-0.062488028529743,-0.037753917450312126,0.4506613493563889,-0.2214208578666559,0.09967850887190696,0.493,0.1743645859833807,0.9339871059062419,br_usd
5,186,146.7,0.029780292705781954,0.018554797681932404,0.7210196687328176,-0.13292350676714337,0.1909211330962094,0.731,0.1825344063765163,0.9339871059062419,br_usd
6,186,147.1,0.006033623630985653,-0.025868925679172358,0.9422666395628652,-0.15597772915807304,0.1677288457310443,0.947,0.17310685056419045,0.9837620740650215,br_usd
7,186,146.7,-0.02839658337877426,-0.06245821464037782,0.7334556031668824,-0.18956910778313116,0.13426607494546272,0.737,0.16773830638970086,0.9339871059062419,br_usd
8,186,143.7,-0.023040775065000126,-0.03227484859363417,0.7845491689612432,-0.18606284766888906,0.1412158999928838,0.801,0.16994978560462018,0.9339871059062419,br_usd
9,186,143.6,0.050461734694171444,0.06342609644317423,0.5493217277604492,-0.11431233375776186,0.21253373485777957,0.556,0.1745522445455165,0.9339871059062419,br_usd
