lag,spec,var,coef,se_hac,t,p,n,r2
1,… + Δlog cert stocks rob & ara (2010-08→),oni,0.0037301275113220183,0.01120825422823549,0.3328018293808143,0.7392838772374764,178,0.12447679187896366
1,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.22598815031991837,0.06859400561436738,3.2945757912202165,0.000985703590342717,178,0.12447679187896366
1,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.003407235749087252,0.025467041237115705,-0.13379001185742542,0.8935686255686563,178,0.12447679187896366
1,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.05155200667705713,0.019401613012121153,2.657099007430466,0.007881629215188523,178,0.12447679187896366
1,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,-0.0260816855543906,0.0144725011349266,-1.8021546732822473,0.07152107380640066,794,0.043917162743389304
1,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,0.005761113113121738,0.011332001680859469,0.5083932455510181,0.6111775887157165,794,0.043917162743389304
1,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.05173019602459939,0.06109975179765179,0.8466514920701773,0.39718940383645585,794,0.043917162743389304
2,oni + lagged Δ + month dummies,oni,-0.01229917338298834,0.008498568566074288,-1.447205289616161,0.1478394355041433,794,0.03804251703121064
2,oni + lagged Δ + month dummies,d3_lag3,0.05645939288152139,0.06185985721749038,0.9126984028271884,0.3614011841726479,794,0.03804251703121064
2,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.0035846995651317983,0.01159229299965414,0.3092312767835276,0.757145603610388,195,0.06631573336875785
2,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.2076945102789194,0.058996022520662494,3.5204832699726056,0.000430761166266983,195,0.06631573336875785
2,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.0006201677339652511,0.026873662032014616,-0.023077157598634854,0.9815887264292593,195,0.06631573336875785
2,"oni alone, 2010-08→ sample",oni,0.0026148786757684943,0.011292013098299124,0.23156886668528257,0.8168728910313964,193,0.06638057894532479
2,"oni alone, 2010-08→ sample",d3_lag3,0.19954973825691105,0.07638149563714364,2.6125403357494847,0.008987208651233859,193,0.06638057894532479
2,… + Δlog cert stocks rob & ara (2010-08→),oni,0.0039685964906139275,0.011703795102692552,0.33908629259076145,0.734544724313623,178,0.1246032696481324
2,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.2249590990598885,0.06893133363391934,3.2635245424758748,0.0011003565343904362,178,0.1246032696481324
2,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.003464273548085073,0.02537252987688207,-0.13653638659192244,0.8913972615345263,178,0.1246032696481324
2,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.05152901537885055,0.01944400130920725,2.6501240438844342,0.008046222289256808,178,0.1246032696481324
2,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,-0.028845076291134104,0.015270161228272496,-1.888983086683318,0.05889409504400173,794,0.04628780788393272
2,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,0.009129961309459096,0.011131022980052493,0.8202266158124525,0.412086931683204,794,0.04628780788393272
2,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.04972305908405882,0.060217567856353724,0.8257234699792414,0.40896097542382503,794,0.04628780788393272
