tier,arbitrage,transform,index,lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh_bartlett,q_bh_surrogate
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-5,52,12.2,-0.48205584529947665,-0.4378508787506141,0.1115421545895332,-0.8252672477325393,0.12119527827424162,0.1825,0.6111725095506766,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-4,53,12.2,-0.44182362348774784,-0.3998951696625998,0.14978430735651171,-0.8076393447332408,0.16955991185159136,0.2235,0.598141668373153,0.3121739018146964,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-3,54,12.3,-0.3804569934212031,-0.3557800454544181,0.22178004788321637,-0.779155767834595,0.23741277233769545,0.3135,0.5937391697528576,0.40438671244594077,0.5689444444444445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-2,55,12.6,-0.30386184574326247,-0.2860286834039219,0.3322171800880933,-0.7388761782318656,0.30992473851958824,0.434,0.5894889686565512,0.52889350094659,0.6859999999999999
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-1,56,12.7,-0.2823227670765982,-0.2506408735875486,0.36698732718742977,-0.7262339184696375,0.32774808759255813,0.4655,0.5920998201523251,0.52889350094659,0.712796875
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,0,57,12.9,-0.2432069724434926,-0.19686902501260564,0.4355541434601471,-0.7024056964186577,0.35894422949876553,0.5315,0.588591756117694,0.609775800844206,0.7441
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,1,58,13.4,-0.18427688799150818,-0.13597698929787566,0.5477721873377288,-0.6607916436554719,0.3981133149153416,0.6375,0.5807286650871164,0.7063378205144397,0.8204512195121951
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,2,58,12.9,-0.16525865582081845,-0.10490532432256923,0.5995100435515417,-0.6580346997743834,0.42662469096798505,0.667,0.5749798675628396,0.7343998033506386,0.8204512195121951
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,3,58,12.5,-0.1362439608452607,-0.043962467645588865,0.673008468301632,-0.6491415837572222,0.46181883776388,0.718,0.5747826166180844,0.7851765463519039,0.8376666666666667
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,4,58,12.2,-0.0968051463651328,0.05048454122212129,0.7685817615078512,-0.6315540205133204,0.5003542243910513,0.7935,0.5740875512023443,0.8501755270565137,0.8961555555555555
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,5,58,12.1,-0.0580206074528017,0.1433603552326019,0.8612391906942329,-0.6103023720109843,0.5322156624281923,0.873,0.5729544871638583,0.8978876668939875,0.9101489361702128
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,6,58,12.0,-0.018451100173978725,0.21584039749183156,0.9558094829409616,-0.5857406889891911,0.5609724068672328,0.963,0.5772814562428505,0.9558094829409616,0.963
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,7,58,12.0,0.03161042020569997,0.269308272469141,0.9242978024403374,-0.5515610357819595,0.5940256788838861,0.937,0.5703934391598283,0.9435540066578444,0.9565208333333334
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,8,58,12.1,0.09217122958216428,0.2984418038865818,0.7807734432151656,-0.5068841658918009,0.6311918277792771,0.823,0.5688732842142873,0.8501755270565137,0.8961555555555555
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,9,58,12.1,0.1634334979503849,0.302164250878673,0.6191874631582612,-0.4505924595864487,0.6724862302139297,0.6865,0.567829706870901,0.740004529140361,0.8204512195121951
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,10,58,12.1,0.23488799951357803,0.27942963660466164,0.4699450141681296,-0.38839556408272247,0.7107126956203949,0.5575,0.569864600589427,0.6223596133577932,0.7588194444444444
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,11,58,12.1,0.3086570276975628,0.2678931273316518,0.33472661133162895,-0.31782253372386465,0.7475347128257696,0.4035,0.5717886374412041,0.52889350094659,0.6713
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,12,58,12.2,0.3821106416631273,0.27973297356565274,0.22282533134776328,-0.2398933521164183,0.7816969312067084,0.2765,0.5736779042999598,0.40438671244594077,0.5229807692307693
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,13,58,12.2,0.44897615255353157,0.3060050465256294,0.14350834385300137,-0.1628270150741557,0.811403507719949,0.185,0.5651660103289539,0.3121739018146964,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,14,58,12.1,0.5016816182467891,0.3311798209970358,0.09613650989485767,-0.09784539594597366,0.8340388618945448,0.12,0.5749541877960147,0.3008012649929924,0.49
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,15,58,12.0,0.5369104239763481,0.3705025493519302,0.07119831915373598,-0.05174551463845522,0.8486759594755107,0.0835,0.5872582305373224,0.3008012649929924,0.4543636363636363
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,16,58,12.0,0.5668106591880065,0.4216954615932,0.05353726597931319,-0.009801603524129383,0.86054059692377,0.0565,0.5744791190571885,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,17,58,12.0,0.5842690677940053,0.47341137834655006,0.04476993926834005,0.015601553426758005,0.867339248040444,0.043,0.5760817587147198,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,18,58,12.0,0.5895490550800904,0.5022073914822643,0.04200749769829093,0.02444671839020807,0.8691264976301013,0.044,0.5800882416518043,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,19,58,12.1,0.5751272325898177,0.5205433143763729,0.04801503826393594,0.005710803859202451,0.8629002958802796,0.0545,0.5877082244094299,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,20,58,12.2,0.5551744471253789,0.549484698822857,0.057402760115689455,-0.01968190862285769,0.8541618410444515,0.0735,0.5765771241706091,0.3008012649929924,0.45018749999999996
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,21,58,12.3,0.521214031965133,0.5735644770293198,0.07817536729183105,-0.06508865913835526,0.8400051890554794,0.102,0.5779553857521433,0.3008012649929924,0.4543636363636363
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,22,58,12.3,0.46662518490057964,0.5551898134762274,0.12277602652775199,-0.1357426092856617,0.8171172025138923,0.164,0.5812606701973425,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,23,58,12.3,0.3889182374636673,0.4836337927444877,0.21047995725458102,-0.22794729923766038,0.7829981684398464,0.2775,0.5802905140113634,0.40438671244594077,0.5229807692307693
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,24,58,12.3,0.3055960120368063,0.3794991710003181,0.33645341510585114,-0.3167509973324799,0.7440058346351055,0.411,0.5738824622471983,0.52889350094659,0.6713
