tier,arbitrage,transform,index,best_lag,r,spearman,n,n_eff,p_bartlett,q_bh,p_surrogate_lag,p_max_surrogate,ci_block_lo,ci_block_hi,sur_max_q95,n_lags_sig_bartlett_05,n_lags_sig_bh_10,best_pos_lag,r_best_pos_lag,p_bartlett_best_pos,q_bh_best_pos,q_bh_global
tier2,VN–BR physical premium B1,diff3,Niño 3.4,15,0.6989604700489678,0.6470048975297938,34,8.1,0.05038365049018534,0.3362069472210226,0.02,0.48,0.32583321845093954,0.9126829227216395,0.8319014568441456,2,0,15,0.6989604700489678,0.05038365049018534,0.3362069472210226,0.0886948814780617
tier2,VN–BR physical premium B1,diff3,−SOI,16,0.6873836633064755,0.7110373542790248,34,12.3,0.010049510149434004,0.2835486190307184,0.0,0.18,0.4582737956488814,0.7848059843699283,0.7547441984451638,4,0,16,0.6873836633064755,0.010049510149434004,0.2835486190307184,0.07974550955700895
tier2,VN–BR physical premium B1,diff3,ONI⁺,14,0.6921934226479788,0.6285700363114907,34,8.0,0.05729132289604899,0.399978769115383,0.06,0.6,0.2663483062335575,0.9218312661623567,0.833091753779875,0,0,14,0.6921934226479788,0.05729132289604899,0.399978769115383,0.0886948814780617
tier2,VN–BR physical premium B1,diff3,ONI⁻,18,0.7323733895430066,0.7628548488536684,34,8.6,0.026880150116949553,0.49107304627869097,0.01,0.43,0.24024910622315676,0.9031673343692193,0.8514265194510788,2,0,18,0.7323733895430066,0.026880150116949553,0.49107304627869097,0.08692634676617392
tier2,VN–BR physical premium B1,sa,ONI,6,-0.893673345888795,-0.7897326581700328,37,5.3,0.02952511640872535,0.5381167401373403,0.05,0.43,-0.9596270886301855,-0.09990294901626745,0.9493589429902087,3,0,6,-0.893673345888795,0.02952511640872535,0.5381167401373403,0.08692634676617392
tier2,VN–BR physical premium B1,sa,Niño 3.4,6,-0.877767142671632,-0.7830932603532601,37,5.3,0.03723800795302812,0.46384588250677394,0.04,0.41,-0.9574617865163714,0.07909704809257251,0.9409577329563216,3,0,6,-0.877767142671632,0.03723800795302812,0.46384588250677394,0.08692634676617392
tier2,VN–BR physical premium B1,sa,−SOI,22,0.7496525222751702,0.7377299294369039,37,6.3,0.07896672735490995,0.3255597565689692,0.02,0.36,0.15788822007569348,0.8203464261299437,0.8819492095923929,1,0,22,0.7496525222751702,0.07896672735490995,0.3255597565689692,0.09935911565599605
tier2,VN–BR physical premium B1,sa,ONI⁺,6,-0.8877273186701351,-0.8550216316766915,37,5.4,0.029311363949808378,0.399408810554312,0.02,0.35,-0.9546781168435573,-0.5213926879651356,0.9436537514320089,2,0,6,-0.8877273186701351,0.029311363949808378,0.399408810554312,0.08692634676617392
tier2,VN–BR physical premium B1,sa,ONI⁻,24,0.9111319722176837,0.8603620523714225,37,4.3,0.08318990648224966,0.4575999063705427,0.0,0.1,0.4527119696044651,0.9467488855842772,0.9386181055560189,0,0,24,0.9111319722176837,0.08318990648224966,0.4575999063705427,0.09935911565599605
tier2,VN–BR physical premium B1,sa_diff1,ONI,14,0.47809483502528355,0.49457245026389623,35,19.5,0.03422214717860195,0.2695815327257956,0.02,0.61,0.1478159743288766,0.7550340903580153,0.5785898835017642,4,0,14,0.47809483502528355,0.03422214717860195,0.2695815327257956,0.08692634676617392
tier2,VN–BR physical premium B1,sa_diff1,Niño 3.4,14,0.49112028191361456,0.4791987720355845,35,19.6,0.028623009971004976,0.29920694429904326,0.0,0.49,0.2003074127744642,0.7854278728639341,0.5937719958698414,3,0,14,0.49112028191361456,0.028623009971004976,0.29920694429904326,0.08692634676617392
tier2,VN–BR physical premium B1,sa_diff1,−SOI,14,0.5738216273539687,0.5750454290901689,35,24.3,0.002588488533425526,0.0905970986698934,0.0,0.09,0.2189921373116307,0.6438592419442432,0.610147731275914,2,1,14,0.5738216273539687,0.002588488533425526,0.0905970986698934,0.07974550955700895
tier2,VN–BR physical premium B1,sa_diff1,ONI⁺,0,-0.46188702996983666,-0.4565437803577286,33,20.4,0.03715619137576476,0.30808440988283753,0.06,0.68,-0.7491235773908689,0.10824472118853679,0.5814233910039183,4,0,0,-0.46188702996983666,0.03715619137576476,0.30808440988283753,0.08692634676617392
tier2,VN–BR physical premium B1,sa_diff1,ONI⁻,17,0.46159225552312655,0.4865285055092892,35,20.3,0.03792478206295491,0.5639692828605367,0.02,0.58,0.022874653143237913,0.7769258946244972,0.614450506622156,2,0,17,0.46159225552312655,0.03792478206295491,0.5639692828605367,0.08692634676617392
tier2,VN–BR physical premium B1,z,ONI,6,-0.8755358390030816,-0.7542830162554793,37,5.4,0.03577314185444114,0.6218678109117413,0.05,0.48,-0.9661119254111582,-0.0058388272966433145,0.942290605344706,2,0,6,-0.8755358390030816,0.03577314185444114,0.6218678109117413,0.08692634676617392
